#  DisGeNET, a discovery platform for human diseases and their genes - http://disgenet.org/
#   Copyright 2010-2016 
#  
# Use is subject to the terms at http://www.disgenet.org/ds/DisGeNET/html/legal.html
# These terms include:
# 
#   1. The DisGeNET database and Knowledge discovery platform are provided to advance 
#       the knowledge about human diseases and their associated genes, 
#       and are intended to be used only for research and education. 
#
#   2. All forms of publication (e.g., web sites, research papers, databases,
#       software applications, etc.) that use or rely on DisGeNET data must cite DisGeNET.
#       Citation guidelines: http://www.disgenet.org/ds/DisGeNET/html/citation.html
# 
# 
# More information at: http://www.disgenet.org/web/DisGeNET/menu/downloads
# 
# This file corresponds to DisGeNET v4.0 (created on Jun 07 2016)
#
# If you have any further questions, please email us at support@disgenet.org
# 
diseaseId	geneId	score	geneName	description	diseaseName	sourceId	NofPmids	NofSnps
umls:C0000737	3440	0.12	IFNA2	interferon, alpha 2	Abdominal Pain	CTD_human	1	0
umls:C0000744	4547	0.490867606404876	MTTP	microsomal triglyceride transfer protein	Abetalipoproteinemia	CLINVAR,CTD_human,ORPHANET,UNIPROT	33	5
umls:C0000768	10683	0.121085767488321	DLL3	delta-like 3 (Drosophila)	Congenital Abnormality	CTD_human	4	0
umls:C0000768	1295	0.12	COL8A1	collagen, type VIII, alpha 1	Congenital Abnormality	CTD_human	1	0
umls:C0000768	1317	0.12	SLC31A1	solute carrier family 31 (copper transporter), member 1	Congenital Abnormality	CTD_human	1	0
umls:C0000768	156	0.12	ADRBK1	adrenergic, beta, receptor kinase 1	Congenital Abnormality	CTD_human	1	0
umls:C0000768	2138	0.120814325616241	EYA1	EYA transcriptional coactivator and phosphatase 1	Congenital Abnormality	CTD_human	4	0
umls:C0000768	2332	0.121085767488321	FMR1	fragile X mental retardation 1	Congenital Abnormality	CTD_human	5	0
umls:C0000768	2348	0.12027144187208	FOLR1	folate receptor 1 (adult)	Congenital Abnormality	CTD_human	2	0
umls:C0000768	4851	0.121628651232482	NOTCH1	notch 1	Congenital Abnormality	CTD_human	6	1
umls:C0000768	6299	0.121357209360402	SALL1	spalt-like transcription factor 1	Congenital Abnormality	CTD_human	6	0
umls:C0000768	6495	0.120542883744161	SIX1	SIX homeobox 1	Congenital Abnormality	CTD_human	3	0
umls:C0000768	9314	0.12	KLF4	Kruppel-like factor 4 (gut)	Congenital Abnormality	CTD_human	1	0
