#  DisGeNET, a discovery platform for human diseases and their genes - http://disgenet.org/
#   Copyright 2010-2016 
#  
# Use is subject to the terms at http://www.disgenet.org/ds/DisGeNET/html/legal.html
# These terms include:
# 
#   1. The DisGeNET database and Knowledge discovery platform are provided to advance 
#       the knowledge about human diseases and their associated genes, 
#       and are intended to be used only for research and education. 
#
#   2. All forms of publication (e.g., web sites, research papers, databases,
#       software applications, etc.) that use or rely on DisGeNET data must cite DisGeNET.
#       Citation guidelines: http://www.disgenet.org/ds/DisGeNET/html/citation.html
# 
# 
# More information at: http://www.disgenet.org/web/DisGeNET/menu/downloads
# 
# This file corresponds to DisGeNET v4.0 (created on Jun 27 2016)
#
# If you have any further questions, please email us at support@disgenet.org 
diseaseId	diseaseName	meshId	meshName
umls:C0000727	Abdomen, Acute	D000006	Abdomen, Acute
umls:C0000735	Abdominal Neoplasms	D000008	Abdominal Neoplasms
umls:C0000737	Abdominal Pain	D015746	Abdominal Pain
umls:C0000744	Abetalipoproteinemia	D000012	Abetalipoproteinemia
umls:C0000768	Congenital Abnormality	D000013	Congenital Abnormalities
umls:C0000786	Spontaneous abortion	D000022	Abortion, Spontaneous
umls:C0000809	Abortion, Habitual	D000026	Abortion, Habitual
umls:C0000821	Threatened abortion	D000033	Abortion, Threatened
umls:C0000832	Abruptio Placentae	D000037	Abruptio Placentae
umls:C0000833	Abscess	D000038	Abscess
umls:C0000880	Acanthamoeba Keratitis	D015823	Acanthamoeba Keratitis
umls:C0000887	Acantholysis	D000051	Acantholysis
umls:C0000889	Acanthosis Nigricans	D000052	Acanthosis Nigricans
umls:C0001075	Achlorhydria	D000126	Achlorhydria
umls:C0001079	Achondrogenesis	C579878	Achondrogenesis
umls:C0001080	Achondroplasia	D000130	Achondroplasia
umls:C0001122	Acidosis	D000138	Acidosis
umls:C0001125	Acidosis, Lactic	D000140	Acidosis, Lactic
umls:C0001126	Renal tubular acidosis	D000141	Acidosis, Renal Tubular
umls:C0001127	Acidosis, Respiratory	D000142	Acidosis, Respiratory
umls:C0001144	Acne Vulgaris	D000152	Acne Vulgaris
umls:C0001145	Acne Keloid	D000153	Acne Keloid
umls:C0001175	Acquired Immunodeficiency Syndrome	D000163	Acquired Immunodeficiency Syndrome
umls:C0001193	Apert syndrome	D000168	Acrocephalosyndactylia
umls:C0001197	Acrodermatitis	D000169	Acrodermatitis
umls:C0001206	Acromegaly	D000172	Acromegaly
umls:C0001231	ACTH Syndrome, Ectopic	D000182	ACTH Syndrome, Ectopic
umls:C0001249	Actinobacillus Infections	D000189	Actinobacillus Infections
umls:C0001261	Actinomycosis	D000196	Actinomycosis
umls:C0001314	Acute Disease	D000208	Acute Disease
umls:C0001349	Acute-Phase Reaction	D000210	Acute-Phase Reaction
umls:C0001364	Massive Hepatic Necrosis	D047508	Massive Hepatic Necrosis
umls:C0001403	Addison Disease	D000224	Addison Disease
umls:C0001416	Adenitis	D008199	Lymphadenitis
umls:C0001418	Adenocarcinoma	D000230	Adenocarcinoma
umls:C0001420	Papillary adenocarcinoma	D000231	Adenocarcinoma, Papillary
umls:C0001422	Adenofibroma	D000232	Adenofibroma
umls:C0001429	Adenolymphoma	D000235	Adenolymphoma
umls:C0001430	Adenoma	D000236	Adenoma
umls:C0001432	Adenoma, Chromophobe	D000238	Adenoma, Chromophobe
umls:C0001433	Adenoma, Acidophil	D000239	Adenoma, Acidophil
umls:C0001442	Adenosarcoma	D018195	Adenosarcoma
umls:C0001486	Adenovirus Infections	D000257	Adenoviridae Infections
umls:C0001511	Tissue Adhesions	D000267	Tissue Adhesions
umls:C0001546	Adjustment Disorders	D000275	Adjustment Disorders
umls:C0001576	Adnexal Diseases	D000291	Adnexal Diseases
umls:C0001614	Adrenal Cortex Diseases	D000303	Adrenal Cortex Diseases
umls:C0001618	Tumors of Adrenal Cortex	D000306	Adrenal Cortex Neoplasms
umls:C0001621	Adrenal Gland Diseases	D000307	Adrenal Gland Diseases
umls:C0001622	Adrenal Gland Hyperfunction	D000308	Adrenocortical Hyperfunction
umls:C0001623	Adrenal gland hypofunction	D000309	Adrenal Insufficiency
umls:C0001624	Adrenal Gland Neoplasms	D000310	Adrenal Gland Neoplasms
umls:C0001627	Congenital adrenal hyperplasia	D000312	Adrenal Hyperplasia, Congenital
umls:C0001630	Adrenal Rest Tumor	D000314	Adrenal Rest Tumor
umls:C0001723	Affective Disorders, Psychotic	D000341	Affective Disorders, Psychotic
umls:C0001726	Affective Symptoms	D000342	Affective Symptoms
umls:C0001733	Afibrinogenemia	D000347	Afibrinogenemia
umls:C0001752	African swine fever	D000357	African Swine Fever
umls:C0001768	Agammaglobulinemia	D000361	Agammaglobulinemia
umls:C0001787	Osteoporosis, Age-Related	D010024	Osteoporosis
umls:C0001815	Primary Myelofibrosis	D055728	Primary Myelofibrosis
umls:C0001818	Agoraphobia	D000379	Agoraphobia
umls:C0001824	Agranulocytosis	D000380	Agranulocytosis
umls:C0001825	Agraphia	D000381	Agraphia
umls:C0001828	Agricultural Workers' Diseases	D000382	Agricultural Workers' Diseases
umls:C0001849	AIDS Dementia Complex	D015526	AIDS Dementia Complex
umls:C0001857	AIDS related complex	D000386	AIDS-Related Complex
umls:C0001883	Airway Obstruction	D000402	Airway Obstruction
umls:C0001916	Albinism	D000417	Albinism
umls:C0001925	Albuminuria	D000419	Albuminuria
umls:C0001940	Alcohol Amnestic Disorder	D000425	Alcohol Amnestic Disorder
umls:C0001957	Alcohol Withdrawal Delirium	D000430	Alcohol Withdrawal Delirium
umls:C0001969	Alcoholic Intoxication	D000435	Alcoholic Intoxication
umls:C0001973	Alcoholic Intoxication, Chronic	D000437	Alcoholism
umls:C0002016	Aleutian Mink Disease	D000453	Aleutian Mink Disease
umls:C0002020	Alexithymia	D000342	Affective Symptoms
umls:C0002063	Alkalosis	D000471	Alkalosis
umls:C0002066	Alkaptonuria	D000474	Alkaptonuria
umls:C0002170	Alopecia	D000505	Alopecia
umls:C0002171	Alopecia Areata	D000506	Alopecia Areata
umls:C0002173	Mucinosis, Follicular	D000507	Mucinosis, Follicular
umls:C0002312	alpha-Thalassemia	D017085	alpha-Thalassemia
umls:C0002351	Altitude Sickness	D000532	Altitude Sickness
umls:C0002382	Alveolar Bone Loss	D016301	Alveolar Bone Loss
umls:C0002390	Extrinsic allergic alveolitis	D000542	Alveolitis, Extrinsic Allergic
umls:C0002395	Alzheimer's Disease	D000544	Alzheimer Disease
umls:C0002418	Amblyopia	D000550	Amblyopia
umls:C0002438	Amebiasis	D000562	Amebiasis
umls:C0002448	Ameloblastoma	D000564	Ameloblastoma
umls:C0002452	Amelogenesis Imperfecta	D000567	Amelogenesis Imperfecta
umls:C0002453	Amenorrhea	D000568	Amenorrhea
umls:C0002514	Amino Acid Metabolism, Inborn Errors	D000592	Amino Acid Metabolism, Inborn Errors
umls:C0002622	Amnesia	D000647	Amnesia
umls:C0002624	Retrograde amnesia	D000648	Amnesia, Retrograde
umls:C0002690	Amputation Stumps	D000672	Amputation Stumps
umls:C0002726	Amyloidosis	D000686	Amyloidosis
umls:C0002736	Amyotrophic Lateral Sclerosis	D000690	Amyotrophic Lateral Sclerosis
umls:C0002768	Congenital Pain Insensitivity	D000699	Pain Insensitivity, Congenital
umls:C0002792	anaphylaxis	D000707	Anaphylaxis
umls:C0002793	Anaplasia	D000708	Anaplasia
umls:C0002797	Bovine Anaplasmosis	D000712	Anaplasmosis
umls:C0002871	Anemia	D000740	Anemia
umls:C0002874	Aplastic Anemia	D000741	Anemia, Aplastic
umls:C0002875	Cooley's anemia	D017086	beta-Thalassemia
umls:C0002876	Congenital dyserythropoietic anemia	D000742	Anemia, Dyserythropoietic, Congenital
umls:C0002878	Anemia, Hemolytic	D000743	Anemia, Hemolytic
umls:C0002879	Anemia, Hemolytic, Acquired	D000743	Anemia, Hemolytic
umls:C0002880	Autoimmune hemolytic anemia	D000744	Anemia, Hemolytic, Autoimmune
umls:C0002881	Anemia, Hemolytic, Congenital	D000745	Anemia, Hemolytic, Congenital
umls:C0002882	Anemia, Hemolytic, Congenital Nonspherocytic	D000746	Anemia, Hemolytic, Congenital Nonspherocytic
umls:C0002884	Hypochromic anemia	D000747	Anemia, Hypochromic
umls:C0002886	Anemia, Macrocytic	D000748	Anemia, Macrocytic
umls:C0002888	Anemia, Megaloblastic	D000749	Anemia, Megaloblastic
umls:C0002891	Anemia, Neonatal	D000751	Anemia, Neonatal
umls:C0002892	Anemia, Pernicious	D000752	Anemia, Pernicious
umls:C0002893	Refractory anemias	D000753	Anemia, Refractory
umls:C0002894	Refractory anaemia with excess blasts	D000754	Anemia, Refractory, with Excess of Blasts
umls:C0002895	Anemia, Sickle Cell	D000755	Anemia, Sickle Cell
umls:C0002896	Sideroblastic anemia	D000756	Anemia, Sideroblastic
umls:C0002902	Anencephaly	D000757	Anencephaly
umls:C0002938	Aneuploidy	D000782	Aneuploidy
umls:C0002940	Aneurysm	D000783	Aneurysm
umls:C0002949	Aneurysm, Dissecting	D000784	Aneurysm, Dissecting
umls:C0002962	Angina Pectoris	D000787	Angina Pectoris
umls:C0002963	Angina Pectoris, Variant	D000788	Angina Pectoris, Variant
umls:C0002965	Angina, Unstable	D000789	Angina, Unstable
umls:C0002982	Angioid Streaks	D000793	Angioid Streaks
umls:C0002985	Angiokeratoma	D000794	Angiokeratoma
umls:C0002986	Fabry Disease	D000795	Fabry Disease
umls:C0002989	Epithelioid hemangioma of skin	D000796	Angiolymphoid Hyperplasia with Eosinophilia
umls:C0002991	Cutaneous Fibrous Histiocytoma	D018219	Histiocytoma, Benign Fibrous
umls:C0002992	Angiomatosis	D000798	Angiomatosis
umls:C0002994	Angioedema	D000799	Angioedema
umls:C0003028	Anhidrosis	D007007	Hypohidrosis
umls:C0003076	Aniridia	D015783	Aniridia
umls:C0003081	Anisometropia	D015858	Anisometropia
umls:C0003090	Ankylosis	D000844	Ankylosis
umls:C0003113	Anomia	D000849	Anomia
umls:C0003119	Anophthalmos	D000853	Anophthalmos
umls:C0003123	Anorexia	D000855	Anorexia
umls:C0003125	Anorexia Nervosa	D000856	Anorexia Nervosa
umls:C0003126	Anosmia	D000857	Olfaction Disorders
umls:C0003128	Anovulation	D000858	Anovulation
umls:C0003129	Anoxemia	D000860	Anoxia
umls:C0003130	Anoxia	D000860	Anoxia
umls:C0003165	Anthracosis	D055008	Anthracosis
umls:C0003175	Anthrax disease	D000881	Anthrax
umls:C0003257	Antibody Deficiency Syndrome	D007153	Immunologic Deficiency Syndromes
umls:C0003431	Antisocial Personality Disorder	D000987	Antisocial Personality Disorder
umls:C0003460	Anuria	D001002	Anuria
umls:C0003462	Anus Diseases	D001004	Anus Diseases
umls:C0003463	Anus Neoplasms	D001005	Anus Neoplasms
umls:C0003466	Anus, Imperforate	D001006	Anus, Imperforate
umls:C0003467	Anxiety	D001007	Anxiety
umls:C0003469	Anxiety Disorders	D001008	Anxiety Disorders
umls:C0003486	Aortic Aneurysm	D001014	Aortic Aneurysm
umls:C0003492	Aortic coarctation	D001017	Aortic Coarctation
umls:C0003493	Aortic Diseases	D001018	Aortic Diseases
umls:C0003496	Aortic Rupture	D001019	Aortic Rupture
umls:C0003499	Supravalvular aortic stenosis	D021921	Aortic Stenosis, Supravalvular
umls:C0003504	Aortic Valve Insufficiency	D001022	Aortic Valve Insufficiency
umls:C0003507	Aortic Valve Stenosis	D001024	Aortic Valve Stenosis
umls:C0003534	Aphakia	D001035	Aphakia
umls:C0003537	Aphasia	D001037	Aphasia
umls:C0003550	Broca Aphasia	D001039	Aphasia, Broca
umls:C0003578	Apnea	D001049	Apnea
umls:C0003615	Appendicitis	D001064	Appendicitis
umls:C0003635	Apraxias	D001072	Apraxias
umls:C0003650	Apudoma	D001079	Apudoma
umls:C0003706	Arachnodactyly	D054119	Arachnodactyly
umls:C0003742	Arcus Senilis	D001112	Arcus Senilis
umls:C0003756	Arenaviridae Infections	D001117	Arenaviridae Infections
umls:C0003803	Arnold Chiari Malformation	D001139	Arnold-Chiari Malformation
umls:C0003810	Sertoli-Leydig cell tumor of ovary	C537588	Androblastoma of ovary
umls:C0003811	Cardiac Arrhythmia	D001145	Arrhythmias, Cardiac
umls:C0003838	Arterial Occlusive Diseases	D001157	Arterial Occlusive Diseases
umls:C0003850	Arteriosclerosis	D001161	Arteriosclerosis
umls:C0003851	Arteriosclerosis Obliterans	D001162	Arteriosclerosis Obliterans
umls:C0003855	Arteriovenous fistula	D001164	Arteriovenous Fistula
